Changelist ID,Change Type,Description,Previous Change ID,Current Change ID,Date & Time
22111044,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-30T04:38:24+00:00
22103103,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-29T16:38:26+00:00
22094590,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-29T04:38:23+00:00
22045469,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-25T08:13:32+00:00
22023379,diff-modified,ChangedExclude from family sharing(exfgls)–1›2,,,2024-01-23T23:55:36+00:00
21882642,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-13T23:10:46+00:00
21829175,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-10T08:22:58+00:00
21788100,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-06T23:56:34+00:00
21762169,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2024-01-04T19:56:34+00:00
21699374,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-12-28T19:56:32+00:00
2 months ago· 8 December 2023 – 12:14:58 UTC,diff-modified,ChangedCategoriesRemovedFull Controller Support,,,2023-12-08T12:14:58+00:00
2 months ago· 8 December 2023 – 12:14:58 UTC,diff-removed,RemovedFull Controller Support,,,2023-12-08T12:14:58+00:00
21276568,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-11-25T17:33:38+00:00
21252890,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-11-23T19:03:26+00:00
21241641,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-11-23T03:03:20+00:00
21163723,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-11-17T15:24:32+00:00
20779662,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-10-21T19:39:06+00:00
20772780,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-10-20T23:39:02+00:00
20719162,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-10-17T15:44:52+00:00
20689822,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-10-15T15:44:50+00:00
20677694,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-10-13T23:44:47+00:00
5 months ago· 23 September 2023 – 04:48:03 UTC,diff-modified,ChangedWeb Assetshero_capsule.jpg:21 September 2023 – 04:01:08 UTC(1695268868)›23 September 2023 – 04:37:07 UTC(1695443827),,,2023-09-23T04:48:03+00:00
5 months ago· 23 September 2023 – 04:48:03 UTC,Unknown,hero_capsule.jpg:21 September 2023 – 04:01:08 UTC(1695268868)›23 September 2023 – 04:37:07 UTC(1695443827),,,2023-09-23T04:48:03+00:00
20402188,diff-modified,ChangedStore Asset Modification Time–21 September 2023 – 04:01:08 UTC(1695268868)›23 September 2023 – 04:37:07 UTC(1695443827),,,2023-09-23T04:37:33+00:00
5 months ago· 21 September 2023 – 04:16:03 UTC,diff-modified,ChangedWeb AssetsAddedhero_capsule.jpg:21 September 2023 – 04:01:08 UTC(1695268868),21 September 2023 – 04:01:08 UTC,21 September 2023 – 04:01:08 UTC,2023-09-21T04:16:03+00:00
5 months ago· 21 September 2023 – 04:16:03 UTC,diff-added,Addedhero_capsule.jpg:21 September 2023 – 04:01:08 UTC(1695268868),21 September 2023 – 04:01:08 UTC,21 September 2023 – 04:01:08 UTC,2023-09-21T04:16:03+00:00
20370932,diff-modified,ChangedStore Asset Modification Time–28 October 2019 – 23:50:04 UTC(1572306604)›21 September 2023 – 04:01:08 UTC(1695268868),,,2023-09-21T04:01:48+00:00
19967277,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-08-19T19:43:58+00:00
18617904,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-29T00:32:25+00:00
18570197,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-25T16:43:59+00:00
18522497,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-21T07:43:53+00:00
18462964,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-16T22:20:22+00:00
18457654,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-16T02:20:14+00:00
18345095,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-05T23:34:44+00:00
18330275,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-04T23:34:42+00:00
18304482,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-03T00:17:48+00:00
18293632,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-04-01T12:17:49+00:00
17988358,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-03-07T20:06:14+00:00
17971680,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-03-06T16:06:22+00:00
17954285,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-03-04T16:06:27+00:00
17921714,diff-modified,ChangedUser Tags (store_tags)–tags only switched places (hidden to reduce noise),,,2023-03-02T00:06:08+00:00
